Specimen_number,d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Subgroup_7.f__Subgroup_7.g__Subgroup_7,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae.g__Dietzia,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Chryseobacterium,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Empedobacter,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium,d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria,d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea,d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Subdoligranulum,d__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.Selenomonadales.f__Veillonellaceae.g__Dialister,d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Shewanella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Noviherbaspirillum,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__TRA3.20.g__TRA3.20,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas,shannon_promote,shannon_inhibit,Time,group,Batch
XH249,0.000994345,0.0,0.000870052,0.000403953,0.0,0.001553664,0.0,0.0,0.0,0.0,0.0,0.0,0.00018644,0.085762227,0.000341806,0.002548008,0.002050836,0.001988689,0.0,0.558200236,0.025417935,0.577280538,1.508541158,43,AI-noLM,Union34
XH250_2,0.0,0.0,0.000629004,0.0,0.0,0.0,0.0,0.0,0.0,0.004993205,0.0,0.0,0.0,0.028336245,0.000116482,0.000357212,0.000163075,0.000970685,0.0,0.568798292,0.015833819,0.317248107,0.743752639,50,AI-noLM,Union34
XH251,0.000581759,0.0,0.0,0.000203616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001963436,0.0,0.026411856,0.000174528,0.000407231,0.000945358,0.0,0.0,0.553834519,0.020070684,0.32833238,1.333993133,58,AI-noLM,Union34
XH253,0.000895225,0.0,0.000221043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000165782,0.030503979,0.0,0.001547303,0.001105217,0.000198939,0.0,0.214224138,0.023187445,0.643620755,1.355737301,26,AI-noLM,Union34
XH254,0.000294407,0.0,0.0,0.000121824,0.0,0.000456839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032618296,0.000131976,0.000395927,0.000314711,0.0,0.0,0.364770616,0.010334711,0.405688577,1.322709577,24,AI-noLM,Union34
XH255,0.00030993,0.000144634,0.0,0.000185958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066283731,0.0,0.105768833,0.000165296,0.000268606,0.000371916,0.006425885,0.0,0.258998306,0.027480474,0.889673931,0.106618102,41,AI-LM,Union34
XH256,0.000641494,0.000641494,0.000196012,0.0,0.0,0.000516759,0.0,0.0,0.0,0.000383114,0.0,0.001407723,0.0,0.011475614,0.001612645,0.001140434,0.0007395,0.001104795,0.000953331,0.778390563,0.013827759,0.192258944,1.777900219,50,AI-noLM,Union34
XH257,0.00025376,0.0,0.0,0.00011712,0.0,0.00223504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072038572,0.004577441,0.0,0.00021472,0.003142721,0.0,0.62640666,0.025922564,0.520880997,0.373098637,24,noAI-LM,Union34
XH258,0.000166015,0.0,0.000406737,0.0,0.0,0.0,0.0,0.0,0.0,0.000838376,0.0,0.00010791,0.000290526,0.067285903,0.0,0.0,0.000273925,0.000863278,0.0,0.450506761,0.014800242,0.513726469,1.58159931,51,noAI-LM,Union34
XH259,0.001020381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036892741,0.000238531,0.000808354,0.000954123,0.0,0.0,0.315165249,0.024290371,0.553119492,1.2838064,43,AI-noLM,Union34
XH260,0.000537598,0.0,0.000352799,0.0,0.0,0.000302399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016405148,0.002066393,0.001604395,0.000663598,0.000638398,0.000193199,0.610123648,0.045343055,0.373611419,1.407485454,52,noAI-noLM,Union34
XH261,0.000322061,0.003064461,0.0,0.000156151,0.0,0.000322061,0.0,0.000185429,0.0,0.000302542,0.0,0.000117113,0.000527009,0.043429464,0.0,0.000204948,0.000302542,0.0,0.0,0.738144732,0.066705704,0.500126729,1.853577046,46,AI-LM,Union34
XH262,0.001063054,0.0,0.000247222,0.0,0.0,0.000420277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037676609,0.00011125,0.001483331,0.000865276,0.001421526,0.0,0.447174872,0.019295665,0.449581926,1.344386643,43,noAI-noLM,Union34
XH265,0.001252022,0.0,0.0,0.0004045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115571,0.04476462,0.000211881,0.001386856,0.001483165,0.0,0.0,0.603725248,0.004950304,0.29876282,1.326159839,36,AI-noLM,Union34
XH272,0.000148761,0.0,0.0,0.0,0.0,0.001009446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044320005,0.0,0.000340024,0.000255018,0.0,0.0,0.610109339,0.00962693,0.330770251,1.046729286,18,AI-LM,Union34
XH273,0.0,0.002176373,0.001170405,0.0,0.000232146,0.000551348,0.0,0.0,0.0,0.0,0.0,0.0,0.001808808,0.049824439,0.002882486,0.00028051,0.000164437,0.00321136,0.0,0.586972713,0.031813741,0.507284547,1.370732217,55,AI-LM,Union34
XH274,0.000476958,0.0,0.001271889,0.000249835,0.0,0.001135615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090281405,0.004497036,0.000522383,0.000567808,0.006427582,0.0,0.317404438,0.029412433,0.824802786,1.167683912,55,AI-LM,Union34
XH427_1,0.000236777,0.0,0.000573729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042319321,0.003551654,0.000254991,0.000273204,0.002212954,0.0,0.599418986,0.035862597,0.457671542,0.94547155,64,AI-LM,Union34
XH427_2,0.001980422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053773176,0.000245195,0.0019427,0.001471171,0.0,0.0,0.732039458,0.034817707,0.414555713,1.221478478,33,noAI-noLM,Union34
